Name,City,State,OwnerType,Owner,Operator,Specialty,Region,License Status,Website,Notes
MultiCare Surgery Center - Auburn,Auburn,WA,Physician group,"VP Surgery Center of Auburn, LLC",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60604663; Expires: 3/16/2028; Address: 1002 15th St SW Ste 215, Auburn, WA 98001-6502"
Acute Pain Therapies Surgery Center,Bellevue,WA,Physician group,Acute Pain Management PLLC,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.61116093; Expires: 9/13/2028; Address: 13033 NE Bel Red Rd Ste 120, Bellevue, WA 98005-2633"
Anderson Sobel Cosmetic Surgery,Bellevue,WA,Independent / LLC,Alex Sobel PLLC,Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.61351695; Expires: 12/26/2028; Address: 626 120th Ave NE Ste B201, Bellevue, WA 98005-3038"
"Anesis Bel-Red ASC, LLC",Bellevue,WA,Physician group,Sound Medical Ventures LLC,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.61499764; Expires: 7/1/2027; Address: 1260 116th Ave NE Ste 110, Bellevue, WA 98004-3800"
Athenix Advanced Plastic Surgery and Aesthetic Centers,Bellevue,WA,Independent / LLC,Athenix Physicians Group Northwest PLLC,Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60329939; Expires: 7/11/2028; Address: 636 120th Ave NE Ste A202, Bellevue, WA 98005-3028"
Bellevue Plastic Surgery Center,Bellevue,WA,Physician group,Newvue Plastic Surgery PC,Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60320007; Expires: 3/28/2028; Address: 10047 Main St Ste 103, Bellevue, WA 98004-5322"
Bellevue Surgery Center,Bellevue,WA,Physician group,Washington Center for Pain Management PLLC,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60287715; Expires: 1/2/2028; Address: 1900 116th Ave NE Ste 100, Bellevue, WA 98004-3052"
Eastside Endoscopy Center,Bellevue,WA,Physician group,The Eastside Endoscopy Center LLC,Unknown,GI/Endoscopy,Puget Sound,Active,,"DOH Credential: ASF.FS.70031917; Expires: 12/8/2028; Address: 1135 116th Ave NE Ste 400, Bellevue, WA 98004-4624"
Egrari Plastic Surgery Center,Bellevue,WA,Physician-affiliated,Sepehr Egrari MD FACS PC,Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60307710; Expires: 9/14/2027; Address: 2950 Northup Way Ste 100, Bellevue, WA 98004-1406"
Kaiser Permanente Ambulatory Surgery Center,Bellevue,WA,Health system,Kaiser Foundation Health Plan of Washington,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60100954; Expires: 7/1/2027; Address: 11511 NE 10th St # E-277, Bellevue, WA 98004-8578"
Naficy Plastic Surgery and Rejuvenation Center,Bellevue,WA,Physician-affiliated,"Sam Naficy, MD, PS, Inc.",Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60101790; Expires: 7/1/2027; Address: 1110 112th Ave NE Ste 150, Bellevue, WA 98004-4570"
Northwest Laser and Surgery Center,Bellevue,WA,Independent / LLC,"Northwest Vision Institute, PLLC",Unknown,Ophthalmology,Puget Sound,Active,,"DOH Credential: ASF.FS.60277121; Expires: 6/4/2027; Address: 12301 NE 10th Pl Ste 103, Bellevue, WA 98005-2487"
Overlake Reproductive Health Inc PS,Bellevue,WA,Physician-affiliated,Overlake Reproductive Health Inc PS,Unknown,Reproductive,Puget Sound,Active,,"DOH Credential: ASF.FS.60350164; Expires: 4/28/2029; Address: 11232 NE 15th St Ste 201, Bellevue, WA 98004-3739"
Overlake Surgery Center,Bellevue,WA,Physician group,Overlake Ambulatory Surgery Center LLC,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60101029; Expires: 7/1/2027; Address: 1135 116th Ave NE Ste 300, Bellevue, WA 98004-4637"
PRO Medical Surgery Center,Bellevue,WA,Physician group,"PRO Surgery Center, LLC",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.61486543; Expires: 1/21/2029; Address: 4455 148th Ave NE Fl B-2, Bellevue, WA 98007-3120"
Pacific Cataract and Laser Institute,Bellevue,WA,Physician-affiliated,"Pacific Cataract and Laser Institute, Inc., P.C.",Unknown,Ophthalmology,Puget Sound,Active,,"DOH Credential: ASF.FS.60884516; Expires: 11/2/2027; Address: 2606 116th Ave NE Ste 100, Bellevue, WA 98004-1422"
RP Plastic Surgery,Bellevue,WA,Independent / LLC,"Rikesh T. Parikh M.D., PLLC",Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.61532152; Expires: 11/26/2027; Address: 301 116th Ave SE Ste 105, Bellevue, WA 98004-6482"
Ridgway Face & Aesthetic Center,Bellevue,WA,Physician group,Ridgway Face & Aesthetic Center PLLC,Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.61027806; Expires: 11/26/2027; Address: 1231 116th Ave NE Ste 900, Bellevue, WA 98004-3822"
Sono Bello,Bellevue,WA,Physician-affiliated,"Aesthetic Physicians, PC",Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60291172; Expires: 11/14/2028; Address: 1200 112th Ave NE Ste C154, Bellevue, WA 98004-3774"
Stephens Plastic Surgery,Bellevue,WA,Physician-affiliated,"David R. Stephens, M.D., INC., P.C.",Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60134975; Expires: 9/11/2027; Address: 10687 NE 2nd St, Bellevue, WA 98004-5727"
The Retina Surgery Center,Bellevue,WA,Physician group,"The Retina Surgery Center, LLC",Unknown,Ophthalmology,Puget Sound,Active,,"DOH Credential: ASF.FS.61191721; Expires: 3/16/2027; Address: 1750 112th Ave NE Ste D050, Bellevue, WA 98004-3779"
